ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	40	98	79.5	0.0
hsa-mir-769:MI0003834:Homo:sapiens:miR-769:stem-loop	17	75	75.0	0.0
hsa-mir-203a:MI0000283:Homo:sapiens:miR-203a:stem-loop	29	74	74.0	0.0
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	36	71	71.0	0.0
hsa-mir-1293:MI0006355:Homo:sapiens:miR-1293:stem-loop	23	71	71.0	0.0
hsa-mir-32:MI0000090:Homo:sapiens:miR-32:stem-loop	9	69	69.0	0.0
hsa-mir-200c:MI0000650:Homo:sapiens:miR-200c:stem-loop	23	65	65.0	0.0
hsa-mir-15a:MI0000069:Homo:sapiens:miR-15a:stem-loop	24	65	65.0	0.0
hsa-mir-3176:MI0014210:Homo:sapiens:miR-3176:stem-loop	11	64	64.0	0.0
hsa-mir-378c:MI0015825:Homo:sapiens:miR-378c:stem-loop	12	63	63.0	0.0
hsa-mir-103a-2:MI0000108:Homo:sapiens:miR-103a-2:stem-loop	38	127	61.5	0.0
hsa-mir-502:MI0003186:Homo:sapiens:miR-502:stem-loop	21	60	60.0	0.0
hsa-mir-548l:MI0006361:Homo:sapiens:miR-548l:stem-loop	8	58	58.0	0.0
hsa-mir-372:MI0000780:Homo:sapiens:miR-372:stem-loop	5	58	58.0	0.0
hsa-mir-1303:MI0006370:Homo:sapiens:miR-1303:stem-loop	23	57	57.0	0.0
hsa-mir-142:MI0000458:Homo:sapiens:miR-142:stem-loop	24	54	54.0	0.0
hsa-mir-629:MI0003643:Homo:sapiens:miR-629:stem-loop	16	54	54.0	0.0
hsa-mir-103a-1:MI0000109:Homo:sapiens:miR-103a-1:stem-loop	34	119	53.5	0.0
hsa-mir-3691:MI0016092:Homo:sapiens:miR-3691:stem-loop	18	53	53.0	0.0
hsa-mir-3138:MI0014161:Homo:sapiens:miR-3138:stem-loop	15	52	52.0	0.0
hsa-mir-93:MI0000095:Homo:sapiens:miR-93:stem-loop	23	50	50.0	0.0
hsa-mir-17:MI0000071:Homo:sapiens:miR-17:stem-loop	17	51	49.5	0.0
hsa-mir-181a-1:MI0000289:Homo:sapiens:miR-181a-1:stem-loop	38	92	49.0	0.0
hsa-mir-590:MI0003602:Homo:sapiens:miR-590:stem-loop	7	49	49.0	0.0
hsa-mir-29b-2:MI0000107:Homo:sapiens:miR-29b-2:stem-loop	15	69	47.166666666666664	0.0
hsa-let-7f-2:MI0000068:Homo:sapiens:let-7f-2:stem-loop	27	48	47.0	0.0
hsa-mir-641:MI0003656:Homo:sapiens:miR-641:stem-loop	21	47	47.0	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	36	89	46.0	0.0
hsa-mir-1291:MI0006353:Homo:sapiens:miR-1291:stem-loop	21	45	45.0	0.0
hsa-mir-3170:MI0014201:Homo:sapiens:miR-3170:stem-loop	19	44	44.0	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	34	45	44.0	0.0
hsa-mir-19b-1:MI0000074:Homo:sapiens:miR-19b-1:stem-loop	27	59	42.5	0.0
hsa-mir-330:MI0000803:Homo:sapiens:miR-330:stem-loop	14	42	42.0	0.0
hsa-mir-449a:MI0001648:Homo:sapiens:miR-449a:stem-loop	8	42	42.0	0.0
hsa-mir-544b:MI0014159:Homo:sapiens:miR-544b:stem-loop	16	41	41.0	0.0
hsa-mir-5687:MI0019291:Homo:sapiens:miR-5687:stem-loop	9	39	39.0	0.0
hsa-mir-7706:MI0025242:Homo:sapiens:miR-7706:stem-loop	16	39	39.0	0.0
hsa-mir-466:MI0014157:Homo:sapiens:miR-466:stem-loop	8	39	39.0	0.0
hsa-mir-4454:MI0016800:Homo:sapiens:miR-4454:stem-loop	5	38	38.0	0.0
hsa-mir-1255a:MI0006389:Homo:sapiens:miR-1255a:stem-loop	16	38	38.0	0.0
hsa-mir-4762:MI0017403:Homo:sapiens:miR-4762:stem-loop	9	36	36.0	0.0
hsa-mir-3143:MI0014167:Homo:sapiens:miR-3143:stem-loop	18	36	36.0	0.0
hsa-mir-2278:MI0011285:Homo:sapiens:miR-2278:stem-loop	12	36	36.0	0.0
hsa-mir-5696:MI0019303:Homo:sapiens:miR-5696:stem-loop	19	35	35.0	0.0
hsa-mir-148a:MI0000253:Homo:sapiens:miR-148a:stem-loop	17	34	34.0	0.0
hsa-mir-1305:MI0006372:Homo:sapiens:miR-1305:stem-loop	10	34	34.0	0.0
hsa-mir-19a:MI0000073:Homo:sapiens:miR-19a:stem-loop	15	33	33.0	0.0
hsa-mir-643:MI0003658:Homo:sapiens:miR-643:stem-loop	13	33	33.0	0.0
hsa-mir-339:MI0000815:Homo:sapiens:miR-339:stem-loop	13	32	32.0	0.0
hsa-mir-224:MI0000301:Homo:sapiens:miR-224:stem-loop	14	32	32.0	0.0
hsa-mir-23a:MI0000079:Homo:sapiens:miR-23a:stem-loop	18	32	31.5	0.0
hsa-mir-491:MI0003126:Homo:sapiens:miR-491:stem-loop	4	30	30.0	0.0
hsa-mir-31:MI0000089:Homo:sapiens:miR-31:stem-loop	14	30	30.0	0.0
