ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-101-1:MI0000103:Homo:sapiens:miR-101-1:stem-loop	35	310	165.5	0.0
hsa-mir-1247:MI0006382:Homo:sapiens:miR-1247:stem-loop	24	155	155.0	0.0
hsa-mir-210:MI0000286:Homo:sapiens:miR-210:stem-loop	36	155	155.0	0.0
hsa-mir-548f-2:MI0006375:Homo:sapiens:miR-548f-2:stem-loop	16	303	147.25	0.0
hsa-mir-548f-3:MI0006376:Homo:sapiens:miR-548f-3:stem-loop	15	302	146.25	0.0
hsa-mir-200c:MI0000650:Homo:sapiens:miR-200c:stem-loop	65	145	145.0	0.0
hsa-mir-4454:MI0016800:Homo:sapiens:miR-4454:stem-loop	30	140	140.0	0.0
hsa-mir-769:MI0003834:Homo:sapiens:miR-769:stem-loop	24	139	139.0	0.0
hsa-mir-1293:MI0006355:Homo:sapiens:miR-1293:stem-loop	50	133	133.0	0.0
hsa-mir-378c:MI0015825:Homo:sapiens:miR-378c:stem-loop	21	132	132.0	0.0
hsa-mir-17:MI0000071:Homo:sapiens:miR-17:stem-loop	43	131	129.0	0.0
hsa-mir-103a-2:MI0000108:Homo:sapiens:miR-103a-2:stem-loop	60	282	124.5	0.0
hsa-mir-32:MI0000090:Homo:sapiens:miR-32:stem-loop	23	123	123.0	0.0
hsa-mir-93:MI0000095:Homo:sapiens:miR-93:stem-loop	57	122	122.0	0.0
hsa-mir-146b:MI0003129:Homo:sapiens:miR-146b:stem-loop	32	122	122.0	0.0
hsa-mir-7706:MI0025242:Homo:sapiens:miR-7706:stem-loop	35	122	122.0	0.0
hsa-mir-544b:MI0014159:Homo:sapiens:miR-544b:stem-loop	15	122	122.0	0.0
hsa-mir-3176:MI0014210:Homo:sapiens:miR-3176:stem-loop	15	121	121.0	0.0
hsa-mir-3138:MI0014161:Homo:sapiens:miR-3138:stem-loop	29	116	116.0	0.0
hsa-mir-466:MI0014157:Homo:sapiens:miR-466:stem-loop	19	113	113.0	0.0
hsa-mir-103a-1:MI0000109:Homo:sapiens:miR-103a-1:stem-loop	51	270	112.5	0.0
hsa-mir-590:MI0003602:Homo:sapiens:miR-590:stem-loop	13	110	110.0	0.0
hsa-let-7f-2:MI0000068:Homo:sapiens:let-7f-2:stem-loop	33	112	107.5	0.0
hsa-mir-641:MI0003656:Homo:sapiens:miR-641:stem-loop	46	105	105.0	0.0
hsa-mir-29b-2:MI0000107:Homo:sapiens:miR-29b-2:stem-loop	24	136	99.0	0.0
hsa-mir-181a-1:MI0000289:Homo:sapiens:miR-181a-1:stem-loop	63	183	97.0	0.0
hsa-mir-502:MI0003186:Homo:sapiens:miR-502:stem-loop	29	96	96.0	0.0
hsa-mir-1303:MI0006370:Homo:sapiens:miR-1303:stem-loop	35	92	92.0	0.0
hsa-mir-18a:MI0000072:Homo:sapiens:miR-18a:stem-loop	16	92	91.0	0.0
hsa-mir-23a:MI0000079:Homo:sapiens:miR-23a:stem-loop	37	90	89.5	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	47	94	89.5	0.0
hsa-mir-19a:MI0000073:Homo:sapiens:miR-19a:stem-loop	30	89	89.0	0.0
hsa-mir-26b:MI0000084:Homo:sapiens:miR-26b:stem-loop	33	88	88.0	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	56	172	86.0	0.0
hsa-mir-1255a:MI0006389:Homo:sapiens:miR-1255a:stem-loop	27	84	84.0	0.0
hsa-mir-548l:MI0006361:Homo:sapiens:miR-548l:stem-loop	12	78	78.0	0.0
hsa-mir-15a:MI0000069:Homo:sapiens:miR-15a:stem-loop	29	77	77.0	0.0
hsa-mir-491:MI0003126:Homo:sapiens:miR-491:stem-loop	13	75	75.0	0.0
hsa-mir-5696:MI0019303:Homo:sapiens:miR-5696:stem-loop	31	74	74.0	0.0
hsa-mir-4762:MI0017403:Homo:sapiens:miR-4762:stem-loop	15	72	72.0	0.0
hsa-mir-449a:MI0001648:Homo:sapiens:miR-449a:stem-loop	13	72	72.0	0.0
hsa-mir-597:MI0003609:Homo:sapiens:miR-597:stem-loop	19	69	69.0	0.0
hsa-mir-107:MI0000114:Homo:sapiens:miR-107:stem-loop	39	160	68.00000000000001	0.0
hsa-mir-1305:MI0006372:Homo:sapiens:miR-1305:stem-loop	14	68	68.0	0.0
hsa-mir-19b-1:MI0000074:Homo:sapiens:miR-19b-1:stem-loop	41	102	65.5	0.0
hsa-mir-23b:MI0000439:Homo:sapiens:miR-23b:stem-loop	27	65	64.5	0.0
hsa-mir-330:MI0000803:Homo:sapiens:miR-330:stem-loop	13	64	64.0	0.0
hsa-mir-3691:MI0016092:Homo:sapiens:miR-3691:stem-loop	16	61	61.0	0.0
hsa-mir-339:MI0000815:Homo:sapiens:miR-339:stem-loop	23	61	61.0	0.0
hsa-mir-20a:MI0000076:Homo:sapiens:miR-20a:stem-loop	29	58	58.0	0.0
hsa-mir-3143:MI0014167:Homo:sapiens:miR-3143:stem-loop	29	57	57.0	0.0
hsa-mir-132:MI0000449:Homo:sapiens:miR-132:stem-loop	12	54	54.0	0.0
hsa-mir-574:MI0003581:Homo:sapiens:miR-574:stem-loop	21	54	54.0	0.0
