ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa_piR_001773|gb|DQ572382|Homo_sapiens:12:12895324:12895350:Plus	1	2	2.0	0.0
hsa_piR_013300|gb|DQ588028|Homo_sapiens:2:206735524:206735549:Plus	1	2	2.0	0.0
hsa_piR_004369|gb|DQ576016|Homo_sapiens:20:47303706:47303734:Minus	1	2	2.0	0.0
hsa_piR_008163|gb|DQ581097|Homo_sapiens:14:23842849:23842874:Plus	2	2	2.0	0.0
hsa_piR_009648|gb|DQ583011|Homo_sapiens:15:49345610:49345638:Minus	1	2	2.0	0.0
hsa_piR_001652|gb|DQ572240|Homo_sapiens:6:26212308:26212336:Plus	2	2	2.0	0.0
hsa_piR_016975|gb|DQ593415|Homo_sapiens:19:54685976:54686003:Plus	1	2	2.0	0.0
hsa_piR_000381|gb|DQ570462|Homo_sapiens:2:46984372:46984401:Minus	2	2	2.0	0.0
hsa_piR_014005|gb|DQ589140|Homo_sapiens:6:27968813:27968841:Minus	1	2	2.0	0.0
hsa_piR_013233|gb|DQ587933|Homo_sapiens:19:46005157:46005186:Plus	1	2	2.0	0.0
hsa_piR_004309|gb|DQ575884|Homo_sapiens:2:47361402:47361433:Minus	4	4	1.5666666666666667	0.0
hsa_piR_017716|gb|DQ594453|Homo_sapiens:6:126143128:126143158:Minus	2	2	1.5	0.0
hsa_piR_001312|gb|DQ571813|Homo_sapiens:2:156965943:156965973:Minus	6	6	1.4333333333333333	0.0
hsa_piR_018570|gb|DQ595536|Homo_sapiens:2:156965941:156965972:Minus	6	6	1.4333333333333333	0.0
hsa_piR_018569|gb|DQ595533|Homo_sapiens:4:101908752:101908780:Plus	6	6	1.4333333333333333	0.0
hsa_piR_001311|gb|DQ571812|Homo_sapiens:3:15524505:15524533:Plus	5	5	1.1	0.0
hsa_piR_022254|gb|DQ600467|Homo_sapiens:2:236318156:236318185:Plus	1	1	1.0	0.0
hsa_piR_006410|gb|DQ578758|Homo_sapiens:10:103422707:103422734:Minus	1	1	1.0	0.0
hsa_piR_017277|gb|DQ593886|Homo_sapiens:9:106106990:106107018:Plus	1	1	1.0	0.0
hsa_piR_008362|gb|DQ581351|Homo_sapiens:2:113455171:113455196:Minus	1	1	1.0	0.0
hsa_piR_018430|gb|DQ595353|Homo_sapiens:5:81410122:81410151:Plus	1	1	1.0	0.0
hsa_piR_008021|gb|DQ580912|Homo_sapiens:6:159108295:159108320:Minus	1	1	1.0	0.0
hsa_piR_019091|gb|DQ596211|Homo_sapiens:14:22840554:22840580:Minus	1	1	1.0	0.0
hsa_piR_012252|gb|DQ586566|Homo_sapiens:2:232028497:232028523:Minus	1	1	1.0	0.0
hsa_piR_007424|gb|DQ580112|Homo_sapiens:8:42691029:42691057:Minus	1	1	1.0	0.0
