ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-671:MI0003760:Homo:sapiens:miR-671:stem-loop	1	3	3.0	0.0
hsa-mir-4645:MI0017272:Homo:sapiens:miR-4645:stem-loop	3	3	3.0	0.0
hsa-mir-23b:MI0000439:Homo:sapiens:miR-23b:stem-loop	3	3	3.0	0.0
hsa-mir-5692a-2:MI0019298:Homo:sapiens:miR-5692a-2:stem-loop	6	6	3.0	0.0
hsa-mir-548t:MI0014164:Homo:sapiens:miR-548t:stem-loop	2	3	3.0	0.0
hsa-mir-345:MI0000825:Homo:sapiens:miR-345:stem-loop	1	3	3.0	0.0
hsa-mir-4661:MI0017289:Homo:sapiens:miR-4661:stem-loop	3	3	3.0	0.0
hsa-mir-4470:MI0016821:Homo:sapiens:miR-4470:stem-loop	2	3	3.0	0.0
hsa-mir-124-3:MI0000445:Homo:sapiens:miR-124-3:stem-loop	2	3	2.3333333333333335	0.0
hsa-mir-5702:MI0019309:Homo:sapiens:miR-5702:stem-loop	2	2	2.0	0.0
hsa-mir-1539:MI0007260:Homo:sapiens:miR-1539:stem-loop	2	2	2.0	0.0
hsa-mir-4694:MI0017327:Homo:sapiens:miR-4694:stem-loop	1	2	2.0	0.0
hsa-mir-3926-1:MI0016434:Homo:sapiens:miR-3926-1:stem-loop	1	2	2.0	0.0
hsa-mir-378i:MI0016902:Homo:sapiens:miR-378i:stem-loop	2	2	2.0	0.0
hsa-mir-5590:MI0019150:Homo:sapiens:miR-5590:stem-loop	2	2	2.0	0.0
hsa-mir-3928:MI0016438:Homo:sapiens:miR-3928:stem-loop	1	2	2.0	0.0
hsa-mir-1972-2:MI0015977:Homo:sapiens:miR-1972-2:stem-loop	4	4	2.0	0.0
hsa-mir-2277:MI0011284:Homo:sapiens:miR-2277:stem-loop	1	2	2.0	0.0
hsa-mir-215:MI0000291:Homo:sapiens:miR-215:stem-loop	1	2	2.0	0.0
hsa-mir-191:MI0000465:Homo:sapiens:miR-191:stem-loop	2	2	2.0	0.0
hsa-mir-4423:MI0016760:Homo:sapiens:miR-4423:stem-loop	2	2	2.0	0.0
hsa-mir-5694:MI0019301:Homo:sapiens:miR-5694:stem-loop	2	2	2.0	0.0
hsa-mir-144:MI0000460:Homo:sapiens:miR-144:stem-loop	1	2	2.0	0.0
hsa-mir-3927:MI0016435:Homo:sapiens:miR-3927:stem-loop	2	2	2.0	0.0
hsa-mir-130b:MI0000748:Homo:sapiens:miR-130b:stem-loop	2	2	2.0	0.0
hsa-mir-548ah:MI0016796:Homo:sapiens:miR-548ah:stem-loop	2	2	2.0	0.0
hsa-mir-548f-1:MI0006374:Homo:sapiens:miR-548f-1:stem-loop	1	2	2.0	0.0
hsa-mir-1972-1:MI0009982:Homo:sapiens:miR-1972-1:stem-loop	4	4	2.0	0.0
hsa-mir-544a:MI0003515:Homo:sapiens:miR-544a:stem-loop	1	2	2.0	0.0
hsa-mir-3128:MI0014145:Homo:sapiens:miR-3128:stem-loop	1	2	2.0	0.0
hsa-mir-8062:MI0025898:Homo:sapiens:miR-8062:stem-loop	2	2	2.0	0.0
hsa-mir-548h-4:MI0006414:Homo:sapiens:miR-548h-4:stem-loop	5	8	1.95	0.0
hsa-mir-548h-3:MI0006413:Homo:sapiens:miR-548h-3:stem-loop	5	8	1.95	0.0
hsa-mir-548h-1:MI0006411:Homo:sapiens:miR-548h-1:stem-loop	5	8	1.95	0.0
hsa-mir-548h-2:MI0006412:Homo:sapiens:miR-548h-2:stem-loop	5	8	1.95	0.0
hsa-mir-181a-1:MI0000289:Homo:sapiens:miR-181a-1:stem-loop	3	3	1.5	0.0
hsa-mir-3179-2:MI0014216:Homo:sapiens:miR-3179-2:stem-loop	4	6	1.5	0.0
hsa-mir-3179-3:MI0014221:Homo:sapiens:miR-3179-3:stem-loop	4	6	1.5	0.0
hsa-mir-3179-1:MI0014213:Homo:sapiens:miR-3179-1:stem-loop	4	6	1.5	0.0
hsa-mir-3179-4:MI0031510:Homo:sapiens:miR-3179-4:stem-loop	4	6	1.5	0.0
hsa-mir-5582:MI0019138:Homo:sapiens:miR-5582:stem-loop	1	1	1.0	0.0
hsa-mir-661:MI0003669:Homo:sapiens:miR-661:stem-loop	1	1	1.0	0.0
hsa-mir-4472-2:MI0016824:Homo:sapiens:miR-4472-2:stem-loop	1	1	1.0	0.0
hsa-mir-548x:MI0014244:Homo:sapiens:miR-548x:stem-loop	1	3	1.0	0.0
hsa-mir-6088:MI0020365:Homo:sapiens:miR-6088:stem-loop	1	1	1.0	0.0
hsa-mir-3675:MI0016076:Homo:sapiens:miR-3675:stem-loop	1	1	1.0	0.0
hsa-mir-1255b-2:MI0006436:Homo:sapiens:miR-1255b-2:stem-loop	1	1	1.0	0.0
hsa-mir-5591:MI0019151:Homo:sapiens:miR-5591:stem-loop	1	1	1.0	0.0
hsa-mir-933:MI0005755:Homo:sapiens:miR-933:stem-loop	1	1	1.0	0.0
hsa-mir-3936:MI0016592:Homo:sapiens:miR-3936:stem-loop	1	1	1.0	0.0
hsa-mir-4675:MI0017306:Homo:sapiens:miR-4675:stem-loop	1	1	1.0	0.0
hsa-mir-6499:MI0022209:Homo:sapiens:miR-6499:stem-loop	1	1	1.0	0.0
hsa-mir-212:MI0000288:Homo:sapiens:miR-212:stem-loop	1	1	1.0	0.0
hsa-mir-4729:MI0017366:Homo:sapiens:miR-4729:stem-loop	1	1	1.0	0.0
hsa-mir-599:MI0003611:Homo:sapiens:miR-599:stem-loop	1	1	1.0	0.0
hsa-mir-3170:MI0014201:Homo:sapiens:miR-3170:stem-loop	1	1	1.0	0.0
hsa-mir-548ak:MI0016840:Homo:sapiens:miR-548ak:stem-loop	1	1	1.0	0.0
hsa-mir-5089:MI0017978:Homo:sapiens:miR-5089:stem-loop	1	1	1.0	0.0
hsa-mir-6748:MI0022593:Homo:sapiens:miR-6748:stem-loop	1	1	1.0	0.0
hsa-mir-934:MI0005756:Homo:sapiens:miR-934:stem-loop	1	1	1.0	0.0
hsa-mir-4678:MI0017309:Homo:sapiens:miR-4678:stem-loop	1	1	1.0	0.0
hsa-mir-7978:MI0025754:Homo:sapiens:miR-7978:stem-loop	1	1	1.0	0.0
