ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-4729:MI0017366:Homo:sapiens:miR-4729:stem-loop	1	1	1.0	0.0
hsa-mir-5188:MI0018167:Homo:sapiens:miR-5188:stem-loop	1	1	1.0	0.0
hsa-mir-2277:MI0011284:Homo:sapiens:miR-2277:stem-loop	1	1	1.0	0.0
hsa-mir-5584:MI0019141:Homo:sapiens:miR-5584:stem-loop	1	1	1.0	0.0
hsa-mir-4678:MI0017309:Homo:sapiens:miR-4678:stem-loop	1	1	1.0	0.0
hsa-mir-3912:MI0016416:Homo:sapiens:miR-3912:stem-loop	1	1	1.0	0.0
hsa-mir-4423:MI0016760:Homo:sapiens:miR-4423:stem-loop	1	1	1.0	0.0
hsa-mir-23b:MI0000439:Homo:sapiens:miR-23b:stem-loop	1	1	1.0	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	1	1	1.0	0.0
hsa-mir-1294:MI0006356:Homo:sapiens:miR-1294:stem-loop	1	1	1.0	0.0
hsa-let-7c:MI0000064:Homo:sapiens:let-7c:stem-loop	1	1	1.0	0.0
hsa-mir-195:MI0000489:Homo:sapiens:miR-195:stem-loop	1	1	1.0	0.0
hsa-mir-548ae-2:MI0016780:Homo:sapiens:miR-548ae-2:stem-loop	2	3	1.0	0.0
hsa-mir-583:MI0003590:Homo:sapiens:miR-583:stem-loop	1	1	1.0	0.0
hsa-mir-4755:MI0017395:Homo:sapiens:miR-4755:stem-loop	1	1	1.0	0.0
hsa-mir-2115:MI0010634:Homo:sapiens:miR-2115:stem-loop	1	1	1.0	0.0
hsa-mir-3165:MI0014195:Homo:sapiens:miR-3165:stem-loop	1	1	1.0	0.0
hsa-mir-5708:MI0019316:Homo:sapiens:miR-5708:stem-loop	1	1	1.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	1	1	1.0	0.0
hsa-mir-548ae-1:MI0016779:Homo:sapiens:miR-548ae-1:stem-loop	2	3	1.0	0.0
hsa-mir-582:MI0003589:Homo:sapiens:miR-582:stem-loop	1	1	1.0	0.0
hsa-mir-27b:MI0000440:Homo:sapiens:miR-27b:stem-loop	1	1	1.0	0.0
hsa-mir-7976:MI0025752:Homo:sapiens:miR-7976:stem-loop	1	1	1.0	0.0
hsa-mir-1262:MI0006397:Homo:sapiens:miR-1262:stem-loop	1	1	1.0	0.0
hsa-mir-4470:MI0016821:Homo:sapiens:miR-4470:stem-loop	1	1	1.0	0.0
hsa-mir-3186:MI0014229:Homo:sapiens:miR-3186:stem-loop	1	1	1.0	0.0
hsa-mir-559:MI0003565:Homo:sapiens:miR-559:stem-loop	1	1	1.0	0.0
hsa-mir-1255a:MI0006389:Homo:sapiens:miR-1255a:stem-loop	1	1	1.0	0.0
hsa-mir-548h-4:MI0006414:Homo:sapiens:miR-548h-4:stem-loop	2	3	0.7	0.0
hsa-mir-548h-3:MI0006413:Homo:sapiens:miR-548h-3:stem-loop	2	3	0.7	0.0
hsa-mir-548h-1:MI0006411:Homo:sapiens:miR-548h-1:stem-loop	2	3	0.7	0.0
hsa-mir-548h-2:MI0006412:Homo:sapiens:miR-548h-2:stem-loop	2	3	0.7	0.0
hsa-mir-3179-2:MI0014216:Homo:sapiens:miR-3179-2:stem-loop	2	2	0.5	0.0
hsa-mir-3179-3:MI0014221:Homo:sapiens:miR-3179-3:stem-loop	2	2	0.5	0.0
hsa-mir-3179-1:MI0014213:Homo:sapiens:miR-3179-1:stem-loop	2	2	0.5	0.0
hsa-mir-3179-4:MI0031510:Homo:sapiens:miR-3179-4:stem-loop	2	2	0.5	0.0
hsa-mir-124-3:MI0000445:Homo:sapiens:miR-124-3:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-124-2:MI0000444:Homo:sapiens:miR-124-2:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-124-1:MI0000443:Homo:sapiens:miR-124-1:stem-loop	1	1	0.3333333333333333	0.0
