ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa_piR_020657|gb|DQ598428|Homo_sapiens:17:72068790:72068821:Plus	18	71	71.0	0.0
hsa_piR_018165|gb|DQ595023|Homo_sapiens:14:102873935:102873963:Plus	25	67	67.0	0.0
hsa_piR_004153|gb|DQ575660|Homo_sapiens:3:156861576:156861607:Plus	32	66	64.0	0.0
hsa_piR_019420|gb|DQ596670|Homo_sapiens:2:101255914:101255940:Minus	16	49	49.0	0.0
hsa_piR_019825|gb|DQ597218|Homo_sapiens:1:227740227:227740256:Plus	32	51	45.75	0.0
hsa_piR_004309|gb|DQ575884|Homo_sapiens:2:47361402:47361433:Minus	32	46	44.36666666666667	0.0
hsa_piR_005019|gb|DQ576918|Homo_sapiens:2:27127216:27127243:Plus	12	36	36.0	0.0
hsa_piR_002732|gb|DQ573682|Homo_sapiens:22:38039830:38039857:Minus	20	70	35.0	0.0
hsa_piR_020365|gb|DQ597975|Homo_sapiens:11:108979133:108979162:Plus	31	34	34.0	0.0
hsa_piR_010541|gb|DQ584197|Homo_sapiens:9:135207523:135207554:Plus	19	30	30.0	0.0
hsa_piR_018380|gb|DQ595292|Homo_sapiens:1:36584867:36584894:Minus	14	30	30.0	0.0
hsa_piR_019354|gb|DQ596587|Homo_sapiens:11:2941674:2941699:Minus	11	25	25.0	0.0
hsa_piR_003384|gb|DQ574582|Homo_sapiens:7:100514732:100514762:Minus	3	22	22.0	0.0
hsa_piR_022028|gb|DQ600186|Homo_sapiens:6:27968885:27968910:Minus	11	20	20.0	0.0
hsa_piR_016002|gb|DQ591848|Homo_sapiens:3:8582418:8582443:Plus	2	19	19.0	0.0
hsa_piR_013350|gb|DQ588101|Homo_sapiens:2:233862294:233862323:Plus	9	19	19.0	0.0
hsa_piR_017173|gb|DQ593736|Homo_sapiens:6:552652:552680:Minus	7	19	19.0	0.0
hsa_piR_003728|gb|DQ575064|Homo_sapiens:14:20935370:20935400:Minus	8	15	15.0	0.0
hsa_piR_023057|gb|DQ601526|Homo_sapiens:7:155262119:155262147:Plus	8	14	14.0	0.0
hsa_piR_006999|gb|DQ579546|Homo_sapiens:17:20844977:20845003:Minus	7	12	12.0	0.0
hsa_piR_019368|gb|DQ596603|Homo_sapiens:1:154156432:154156462:Minus	5	9	9.0	0.0
hsa_piR_009502|gb|DQ582827|Homo_sapiens:19:1334622:1334647:Plus	8	9	9.0	0.0
hsa_piR_012925|gb|DQ587514|Homo_sapiens:1:31181176:31181205:Minus	5	9	9.0	0.0
hsa_piR_011217|gb|DQ585139|Homo_sapiens:6:26264588:26264614:Plus	2	8	8.0	0.0
hsa_piR_008488|gb|DQ581533|Homo_sapiens:12:117916274:117916302:Plus	8	8	8.0	0.0
hsa_piR_019911|gb|DQ597340|Homo_sapiens:14:20930222:20930253:Minus	6	7	7.0	0.0
hsa_piR_020305|gb|DQ597887|Homo_sapiens:19:54686244:54686269:Plus	4	6	6.0	0.0
hsa_piR_009903|gb|DQ583334|Homo_sapiens:6:26232436:26232462:Plus	3	6	6.0	0.0
hsa_piR_015099|gb|DQ590642|Homo_sapiens:19:47056699:47056724:Plus	5	6	6.0	0.0
hsa_piR_018570|gb|DQ595536|Homo_sapiens:2:156965941:156965972:Minus	11	14	5.083333333333333	0.0
hsa_piR_020345|gb|DQ597945|Homo_sapiens:19:53102826:53102852:Plus	2	5	5.0	0.0
hsa_piR_017174|gb|DQ593737|Homo_sapiens:2:168406297:168406328:Plus	3	5	5.0	0.0
hsa_piR_016677|gb|DQ592953|Homo_sapiens:2:205927199:205927228:Plus	6	7	5.0	0.0
hsa_piR_016664|gb|DQ592938|Homo_sapiens:17:34262748:34262774:Minus	3	5	5.0	0.0
hsa_piR_021839|gb|DQ599918|Homo_sapiens:22:48663289:48663315:Plus	2	5	5.0	0.0
hsa_piR_000765|gb|DQ570956|Homo_sapiens:2:156965946:156965976:Minus	3	4	4.0	0.0
hsa_piR_011968|gb|DQ586183|Homo_sapiens:5:126543422:126543451:Minus	4	4	4.0	0.0
hsa_piR_008547|gb|DQ581601|Homo_sapiens:4:126499194:126499224:Plus	3	4	4.0	0.0
hsa_piR_007336|gb|DQ580006|Homo_sapiens:2:106681212:106681238:Minus	4	4	4.0	0.0
hsa_piR_006658|gb|DQ579110|Homo_sapiens:6:26393505:26393531:Minus	4	4	4.0	0.0
hsa_piR_020326|gb|DQ597916|Homo_sapiens:3:15524502:15524532:Plus	5	6	4.0	0.0
hsa_piR_001312|gb|DQ571813|Homo_sapiens:2:156965943:156965973:Minus	9	12	3.5833333333333335	0.0
hsa_piR_007788|gb|DQ580606|Homo_sapiens:16:87823111:87823139:Plus	3	3	3.0	0.0
hsa_piR_016924|gb|DQ593320|Homo_sapiens:12:100064940:100064968:Plus	3	3	3.0	0.0
hsa_piR_018569|gb|DQ595533|Homo_sapiens:4:101908752:101908780:Plus	7	9	2.5833333333333335	0.0
hsa_piR_020097|gb|DQ597608|Homo_sapiens:1:100485620:100485649:Minus	2	2	2.0	0.0
hsa_piR_010571|gb|DQ584239|Homo_sapiens:16:47153372:47153398:Minus	2	2	2.0	0.0
hsa_piR_008362|gb|DQ581351|Homo_sapiens:2:113455171:113455196:Minus	2	2	2.0	0.0
hsa_piR_000743|gb|DQ570928|Homo_sapiens:9:138241107:138241133:Minus	1	2	2.0	0.0
hsa_piR_019010|gb|DQ596097|Homo_sapiens:12:108795262:108795288:Minus	1	2	2.0	0.0
hsa_piR_010965|gb|DQ584795|Homo_sapiens:16:71256308:71256336:Minus	1	2	2.0	0.0
hsa_piR_000580|gb|DQ570722|Homo_sapiens:15:90948934:90948963:Plus	2	2	2.0	0.0
hsa_piR_006245|gb|DQ578550|Homo_sapiens:1:100062274:100062301:Plus	2	2	2.0	0.0
hsa_piR_006687|gb|DQ579145|Homo_sapiens:3:33457594:33457622:Plus	2	2	2.0	0.0
hsa_piR_005458|gb|DQ577500|Homo_sapiens:16:87876558:87876587:Minus	1	2	2.0	0.0
hsa_piR_005142|gb|DQ577094|Homo_sapiens:5:68963851:68963879:Minus	1	2	2.0	0.0
hsa_piR_004934|gb|DQ576790|Homo_sapiens:1:28170272:28170302:Minus	2	2	2.0	0.0
hsa_piR_022298|gb|DQ600517|Homo_sapiens:6:102507270:102507300:Minus	1	2	2.0	0.0
hsa_piR_005018|gb|DQ576917|Homo_sapiens:6:26685373:26685400:Plus	1	2	2.0	0.0
hsa_piR_022186|gb|DQ600382|Homo_sapiens:3:75764332:75764360:Minus	1	2	2.0	0.0
hsa_piR_015267|gb|DQ590853|Homo_sapiens:13:109499773:109499799:Minus	2	2	2.0	0.0
hsa_piR_021764|gb|DQ599818|Homo_sapiens:1:45753221:45753248:Minus	2	2	2.0	0.0
hsa_piR_002753|gb|DQ573706|Homo_sapiens:17:20845203:20845232:Minus	2	2	2.0	0.0
hsa_piR_000798|gb|DQ570996|Homo_sapiens:10:122104354:122104385:Minus	2	2	2.0	0.0
hsa_piR_010155|gb|DQ583674|Homo_sapiens:7:45110577:45110606:Minus	2	2	2.0	0.0
hsa_piR_007228|gb|DQ579851|Homo_sapiens:15:97374166:97374197:Minus	2	2	2.0	0.0
hsa_piR_013549|gb|DQ588486|Homo_sapiens:6:26343127:26343155:Minus	2	2	2.0	0.0
hsa_piR_004438|gb|DQ576112|Homo_sapiens:11:12935861:12935890:Minus	2	2	2.0	0.0
hsa_piR_009872|gb|DQ583291|Homo_sapiens:8:126000561:126000589:Minus	2	2	2.0	0.0
hsa_piR_006562|gb|DQ578974|Homo_sapiens:4:100257341:100257369:Minus	2	2	2.0	0.0
hsa_piR_006613|gb|DQ579049|Homo_sapiens:9:15517444:15517470:Minus	2	2	2.0	0.0
hsa_piR_016945|gb|DQ593356|Homo_sapiens:1:144106919:144106948:Minus	2	2	1.5	0.0
hsa_piR_009049|gb|DQ582260|Homo_sapiens:2:131748067:131748093:Plus	3	3	1.1666666666666665	0.0
hsa_piR_010108|gb|DQ583610|Homo_sapiens:Y:11792096:11792124:Plus	3	3	1.1666666666666665	0.0
hsa_piR_014454|gb|DQ589793|Homo_sapiens:6:26213034:26213059:Plus	1	1	1.0	0.0
hsa_piR_002877|gb|DQ573869|Homo_sapiens:8:12087716:12087742:Minus	1	1	1.0	0.0
hsa_piR_020027|gb|DQ597504|Homo_sapiens:16:2510091:2510120:Plus	1	1	1.0	0.0
hsa_piR_007524|gb|DQ580256|Homo_sapiens:5:177415291:177415318:Plus	1	1	1.0	0.0
hsa_piR_015933|gb|DQ591767|Homo_sapiens:3:152684882:152684912:Minus	1	1	1.0	0.0
hsa_piR_000615|gb|DQ570764|Homo_sapiens:10:100244314:100244344:Plus	1	1	1.0	0.0
hsa_piR_011222|gb|DQ585149|Homo_sapiens:3:101474503:101474528:Plus	1	1	1.0	0.0
hsa_piR_009293|gb|DQ582565|Homo_sapiens:3:100040290:100040316:Plus	1	1	1.0	0.0
hsa_piR_015249|gb|DQ590830|Homo_sapiens:6:26435795:26435820:Plus	1	1	1.0	0.0
hsa_piR_015010|gb|DQ590529|Homo_sapiens:16:87823711:87823739:Plus	1	1	1.0	0.0
hsa_piR_013830|gb|DQ588891|Homo_sapiens:19:45273234:45273259:Minus	1	1	1.0	0.0
hsa_piR_012990|gb|DQ587605|Homo_sapiens:6:170704198:170704223:Minus	1	1	1.0	0.0
hsa_piR_021057|gb|DQ598951|Homo_sapiens:9:134884780:134884806:Plus	1	1	1.0	0.0
hsa_piR_006475|gb|DQ578846|Homo_sapiens:12:51975966:51975991:Plus	1	1	1.0	0.0
hsa_piR_011349|gb|DQ585326|Homo_sapiens:3:100040517:100040543:Minus	1	1	1.0	0.0
hsa_piR_004952|gb|DQ576816|Homo_sapiens:7:115684793:115684818:Plus	1	1	1.0	0.0
hsa_piR_008624|gb|DQ581708|Homo_sapiens:12:9410818:9410847:Minus	1	1	1.0	0.0
hsa_piR_022817|gb|DQ601208|Homo_sapiens:6:30666370:30666398:Plus	1	1	1.0	0.0
hsa_piR_008541|gb|DQ581595|Homo_sapiens:2:131599853:131599879:Plus	1	1	1.0	0.0
hsa_piR_005161|gb|DQ577119|Homo_sapiens:2:236701660:236701688:Plus	1	1	1.0	0.0
hsa_piR_005673|gb|DQ577790|Homo_sapiens:9:130949775:130949804:Plus	1	1	1.0	0.0
hsa_piR_022436|gb|DQ600689|Homo_sapiens:6:153645383:153645408:Minus	1	1	1.0	0.0
hsa_piR_017138|gb|DQ593692|Homo_sapiens:2:100142048:100142077:Minus	1	1	1.0	0.0
hsa_piR_005395|gb|DQ577420|Homo_sapiens:6:27222557:27222582:Minus	1	1	1.0	0.0
hsa_piR_016539|gb|DQ592778|Homo_sapiens:6:33962074:33962102:Minus	1	1	1.0	0.0
hsa_piR_013655|gb|DQ588647|Homo_sapiens:22:38757261:38757290:Plus	1	1	1.0	0.0
hsa_piR_001311|gb|DQ571812|Homo_sapiens:3:15524505:15524533:Plus	2	4	1.0	0.0
hsa_piR_003574|gb|DQ574852|Homo_sapiens:8:141604994:141605023:Minus	1	1	1.0	0.0
hsa_piR_007502|gb|DQ580229|Homo_sapiens:3:51676701:51676729:Plus	1	1	1.0	0.0
hsa_piR_015324|gb|DQ590938|Homo_sapiens:16:29727464:29727492:Plus	1	1	1.0	0.0
hsa_piR_021257|gb|DQ599197|Homo_sapiens:8:146037746:146037774:Plus	1	1	1.0	0.0
hsa_piR_016273|gb|DQ592185|Homo_sapiens:5:100064913:100064941:Minus	1	1	1.0	0.0
hsa_piR_003407|gb|DQ574619|Homo_sapiens:Y:13536477:13536502:Plus	1	1	1.0	0.0
hsa_piR_009011|gb|DQ582213|Homo_sapiens:13:100528658:100528688:Plus	1	1	1.0	0.0
hsa_piR_003614|gb|DQ574924|Homo_sapiens:1:6606195:6606224:Plus	1	1	1.0	0.0
hsa_piR_007851|gb|DQ580687|Homo_sapiens:X:100682558:100682587:Plus	1	1	1.0	0.0
hsa_piR_017810|gb|DQ594578|Homo_sapiens:19:18252851:18252877:Minus	1	1	1.0	0.0
hsa_piR_004216|gb|DQ575746|Homo_sapiens:15:80551392:80551422:Minus	1	1	1.0	0.0
hsa_piR_020391|gb|DQ598016|Homo_sapiens:8:122897053:122897079:Plus	1	1	1.0	0.0
hsa_piR_005918|gb|DQ578125|Homo_sapiens:22:22573633:22573662:Minus	1	1	1.0	0.0
hsa_piR_017602|gb|DQ594302|Homo_sapiens:10:126301191:126301220:Minus	1	1	1.0	0.0
hsa_piR_005959|gb|DQ578189|Homo_sapiens:11:57052869:57052897:Minus	1	1	1.0	0.0
hsa_piR_016123|gb|DQ591997|Homo_sapiens:8:11741976:11742001:Minus	1	1	1.0	0.0
